participant,trial,task,sentence,answer,count_correct
6035601b9c8aa0415a0d2883,11,speech_single,bkbf0602,The mother stirs the tea,0
6035601b9c8aa0415a0d2883,12,speech_single,bkbf1701,The apple pie's cooking,3
6035601b9c8aa0415a0d2883,13,speech_single,bkbf0913,The dinner plate's hot,0
6035601b9c8aa0415a0d2883,14,speech_single,bkbf0201,The ladder's near the door,2
6035601b9c8aa0415a0d2883,15,speech_single,bkbf0213,Some sticks were under the tree,2
6035601b9c8aa0415a0d2883,16,speech_single,bkbf1516,The puppy plays with a ball,3
6035601b9c8aa0415a0d2883,17,speech_single,bkbf0615,The broom stood in the corner,2
6035601b9c8aa0415a0d2883,18,speech_single,bkbf0411,The jam jar was full,3
6035601b9c8aa0415a0d2883,19,speech_single,bkbf1616,The painter used a brush,3
6035601b9c8aa0415a0d2883,20,speech_single,bkbf1408,The kitchen window was clean,3
6035601b9c8aa0415a0d2883,21,speech_single,bkbf0310,The man cleaned his shoes,3
6035601b9c8aa0415a0d2883,22,speech_single,bkbf0812,The bus stopped suddenly,3
6035601b9c8aa0415a0d2883,23,speech_single,bkbf0216,The school finished early,3
6035601b9c8aa0415a0d2883,24,speech_single,bkbf0501,The bath towel was wet,3
6035601b9c8aa0415a0d2883,25,speech_single,bkbf2012,The raincoat's hanging up,0
6035601b9c8aa0415a0d2883,26,speech_single,bkbf0210,The police chased the car,3
6035601b9c8aa0415a0d2883,27,speech_single,bkbf1203,The front garden was pretty,3
6035601b9c8aa0415a0d2883,28,speech_single,bkbf1208,The bread van's coming,1
6035601b9c8aa0415a0d2883,29,speech_single,bkbf2110,The egg cups are on the table,1
6035601b9c8aa0415a0d2883,30,speech_single,bkbf1906,The cleaner swept the floor,2
6035601b9c8aa0415a0d2883,31,speech_single,bkbf0109,The postman shut the gate,0
6035601b9c8aa0415a0d2883,32,speech_single,bkbf1205,The taps are above the sink,0
6035601b9c8aa0415a0d2883,33,speech_single,bkbf2016,The flower stands in a pot,1
6035601b9c8aa0415a0d2883,34,speech_single,bkbf1907,A grocer sells butter,1
6035601b9c8aa0415a0d2883,35,speech_single,bkbf0912,The lady packed her bag,1
6035601b9c8aa0415a0d2883,36,speech_single,bkbf0714,The orange was quite sweet,3
6035601b9c8aa0415a0d2883,37,speech_single,bkbf0803,The match boxes are empty,2
6035601b9c8aa0415a0d2883,38,speech_single,bkbf1301,The fruit came in a box,2
6035601b9c8aa0415a0d2883,39,speech_single,bkbf2112,The cricket team's playing,0
6035601b9c8aa0415a0d2883,40,speech_single,bkbf1609,Some men shave in the morning,2
60362e857c4589632889c8ac,1,speech_single,bkbf2112,The cricket team's playing,0
60362e857c4589632889c8ac,2,speech_single,bkbf0502,The matches lie on the shelf,2
60362e857c4589632889c8ac,3,speech_single,bkbf0602,The mother stirs the tea,1
60362e857c4589632889c8ac,4,speech_single,bkbf0414,The cooks making a cake,2
60362e857c4589632889c8ac,5,speech_single,bkbf1008,Someones crossing the road,3
60362e857c4589632889c8ac,6,speech_single,bkbf0411,The jam jar was full,3
60362e857c4589632889c8ac,7,speech_single,bkbf0210,The police chased the car,1
60362e857c4589632889c8ac,8,speech_single,bkbf0204,The old gloves are dirty,2
60362e857c4589632889c8ac,9,speech_single,bkbf0812,The bus stopped suddenly,2
60362e857c4589632889c8ac,10,speech_single,bkbf0213,Some sticks were under the tree,3
60362e857c4589632889c8ac,11,speech_single,bkbf2110,The egg cups are on the table,2
60362e857c4589632889c8ac,12,speech_single,bkbf1701,The apple pie's cooking,3
60362e857c4589632889c8ac,13,speech_single,bkbf1205,The taps are above the sink,0
60362e857c4589632889c8ac,14,speech_single,bkbf1906,The cleaner swept the floor,3
60362e857c4589632889c8ac,15,speech_single,bkbf1609,Some men shave in the morning,3
60362e857c4589632889c8ac,16,speech_single,bkbf1208,The bread van's coming,2
60362e857c4589632889c8ac,17,speech_single,bkbf0206,The thin dog was hungry,1
60362e857c4589632889c8ac,18,speech_single,bkbf2012,The raincoat's hanging up,0
60362e857c4589632889c8ac,19,speech_single,bkbf1408,The kitchen window was clean,3
60362e857c4589632889c8ac,20,speech_single,bkbf0310,The man cleaned his shoes,1
60362e857c4589632889c8ac,21,speech_single,bkbf1516,The puppy plays with a ball,0
60362e857c4589632889c8ac,22,speech_single,bkbf0714,The orange was quite sweet,3
60362e857c4589632889c8ac,23,speech_single,bkbf1212,The children help the milkman,3
60362e857c4589632889c8ac,24,speech_single,bkbf2016,The flower stands in a pot,2
60362e857c4589632889c8ac,25,speech_single,bkbf0109,The postman shut the gate,1
60362e857c4589632889c8ac,26,speech_single,bkbf0803,The match boxes are empty,3
60362e857c4589632889c8ac,27,speech_single,bkbf1301,The fruit came in a box,0
60362e857c4589632889c8ac,28,speech_single,bkbf0912,The lady packed her bag,3
60362e857c4589632889c8ac,29,speech_single,bkbf1415,The grass is getting long,0
60362e857c4589632889c8ac,30,speech_single,bkbf1203,The front garden was pretty,3
60362e857c4589632889c8ac,31,speech_single,bkbf0615,The broom stood in the corner,0
60362e857c4589632889c8ac,32,speech_single,bkbf0906,A letter fell on the mat,2
60362e857c4589632889c8ac,33,speech_single,bkbf0216,The school finished early,3
60362e857c4589632889c8ac,34,speech_single,bkbf1616,The painter used a brush,2
60362e857c4589632889c8ac,35,speech_single,bkbf0512,Somebody took the money,3
60362e857c4589632889c8ac,36,speech_single,bkbf1215,The boy had a toy dragon,3
60362e857c4589632889c8ac,37,speech_single,bkbf0913,The dinner plate's hot,1
60362e857c4589632889c8ac,38,speech_single,bkbf1907,A grocer sells butter,3
60362e857c4589632889c8ac,39,speech_single,bkbf0201,The ladder's near the door,0
60362e857c4589632889c8ac,40,speech_single,bkbf0501,The bath towel was wet,3
6036f26208d15e92cafdb13b,1,speech_single,bkbf0912,The lady packed her bag,0
6036f26208d15e92cafdb13b,2,speech_single,bkbf2112,The cricket team's playing,0
6036f26208d15e92cafdb13b,3,speech_single,bkbf1205,The taps are above the sink,0
6036f26208d15e92cafdb13b,4,speech_single,bkbf0913,The dinner plate's hot,0
6036f26208d15e92cafdb13b,5,speech_single,bkbf0204,The old gloves are dirty,0
6036f26208d15e92cafdb13b,6,speech_single,bkbf0512,Somebody took the money,0
6036f26208d15e92cafdb13b,7,speech_single,bkbf0906,A letter fell on the mat,0
6036f26208d15e92cafdb13b,8,speech_single,bkbf2012,The raincoat's hanging up,0
6036f26208d15e92cafdb13b,9,speech_single,bkbf0210,The police chased the car,2
6036f26208d15e92cafdb13b,10,speech_single,bkbf1408,The kitchen window was clean,3
6036f26208d15e92cafdb13b,11,speech_single,bkbf0803,The match boxes are empty,0
6036f26208d15e92cafdb13b,12,speech_single,bkbf1616,The painter used a brush,3
6036f26208d15e92cafdb13b,13,speech_single,bkbf0411,The jam jar was full,3
6036f26208d15e92cafdb13b,14,speech_single,bkbf1212,The children help the milkman,1
6036f26208d15e92cafdb13b,15,speech_single,bkbf1906,The cleaner swept the floor,0
6036f26208d15e92cafdb13b,16,speech_single,bkbf1215,The boy had a toy dragon,3
6036f26208d15e92cafdb13b,17,speech_single,bkbf0206,The thin dog was hungry,0
6036f26208d15e92cafdb13b,18,speech_single,bkbf0213,Some sticks were under the tree,2
6036f26208d15e92cafdb13b,19,speech_single,bkbf0602,The mother stirs the tea,0
6036f26208d15e92cafdb13b,20,speech_single,bkbf1203,The front garden was pretty,3
6036f26208d15e92cafdb13b,21,speech_single,bkbf0615,The broom stood in the corner,0
6036f26208d15e92cafdb13b,22,speech_single,bkbf1301,The fruit came in a box,2
6036f26208d15e92cafdb13b,23,speech_single,bkbf1415,The grass is getting long,3
6036f26208d15e92cafdb13b,24,speech_single,bkbf2110,The egg cups are on the table,2
6036f26208d15e92cafdb13b,25,speech_single,bkbf0310,The man cleaned his shoes,3
6036f26208d15e92cafdb13b,26,speech_single,bkbf1701,The apple pie's cooking,0
6036f26208d15e92cafdb13b,27,speech_single,bkbf0812,The bus stopped suddenly,2
6036f26208d15e92cafdb13b,28,speech_single,bkbf0109,The postman shut the gate,0
6036f26208d15e92cafdb13b,29,speech_single,bkbf0501,The bath towel was wet,0
6036f26208d15e92cafdb13b,30,speech_single,bkbf1516,The puppy plays with a ball,0
6036f26208d15e92cafdb13b,31,speech_single,bkbf0414,The cooks making a cake,3
6036f26208d15e92cafdb13b,32,speech_single,bkbf1208,The bread van's coming,0
6036f26208d15e92cafdb13b,33,speech_single,bkbf1609,Some men shave in the morning,0
6036f26208d15e92cafdb13b,34,speech_single,bkbf1907,A grocer sells butter,0
6036f26208d15e92cafdb13b,35,speech_single,bkbf1008,Someones crossing the road,0
6036f26208d15e92cafdb13b,36,speech_single,bkbf0714,The orange was quite sweet,3
6036f26208d15e92cafdb13b,37,speech_single,bkbf0502,The matches lie on the shelf,2
6036f26208d15e92cafdb13b,38,speech_single,bkbf2016,The flower stands in a pot,0
6036f26208d15e92cafdb13b,39,speech_single,bkbf0216,The school finished early,3
6036f26208d15e92cafdb13b,40,speech_single,bkbf0201,The ladder's near the door,0
603caacf4df9d7a63fc5b6ed,1,speech_single,bkbf2016,The flower stands in a pot,0
603caacf4df9d7a63fc5b6ed,2,speech_single,bkbf2110,The egg cups are on the table,2
603caacf4df9d7a63fc5b6ed,3,speech_single,bkbf1203,The front garden was pretty,3
603caacf4df9d7a63fc5b6ed,4,speech_single,bkbf0602,The mother stirs the tea,0
603caacf4df9d7a63fc5b6ed,5,speech_single,bkbf1906,The cleaner swept the floor,3
603caacf4df9d7a63fc5b6ed,6,speech_single,bkbf0210,The police chased the car,1
603caacf4df9d7a63fc5b6ed,7,speech_single,bkbf1215,The boy had a toy dragon,3
603caacf4df9d7a63fc5b6ed,8,speech_single,bkbf1616,The painter used a brush,3
603caacf4df9d7a63fc5b6ed,9,speech_single,bkbf1907,A grocer sells butter,0
603caacf4df9d7a63fc5b6ed,10,speech_single,bkbf0201,The ladder's near the door,0
603caacf4df9d7a63fc5b6ed,11,speech_single,bkbf0615,The broom stood in the corner,2
603caacf4df9d7a63fc5b6ed,12,speech_single,bkbf0512,Somebody took the money,2
603caacf4df9d7a63fc5b6ed,13,speech_single,bkbf0414,The cooks making a cake,3
603caacf4df9d7a63fc5b6ed,14,speech_single,bkbf0213,Some sticks were under the tree,3
603caacf4df9d7a63fc5b6ed,15,speech_single,bkbf2112,The cricket team's playing,0
603caacf4df9d7a63fc5b6ed,16,speech_single,bkbf1208,The bread van's coming,2
603caacf4df9d7a63fc5b6ed,17,speech_single,bkbf0204,The old gloves are dirty,3
603caacf4df9d7a63fc5b6ed,18,speech_single,bkbf0803,The match boxes are empty,0
603caacf4df9d7a63fc5b6ed,19,speech_single,bkbf0906,A letter fell on the mat,1
603caacf4df9d7a63fc5b6ed,20,speech_single,bkbf1301,The fruit came in a box,1
603caacf4df9d7a63fc5b6ed,21,speech_single,bkbf0109,The postman shut the gate,1
603caacf4df9d7a63fc5b6ed,22,speech_single,bkbf0206,The thin dog was hungry,1
603caacf4df9d7a63fc5b6ed,23,speech_single,bkbf0502,The matches lie on the shelf,3
603caacf4df9d7a63fc5b6ed,24,speech_single,bkbf0310,The man cleaned his shoes,3
603caacf4df9d7a63fc5b6ed,25,speech_single,bkbf1212,The children help the milkman,2
603caacf4df9d7a63fc5b6ed,26,speech_single,bkbf1609,Some men shave in the morning,1
603caacf4df9d7a63fc5b6ed,27,speech_single,bkbf1415,The grass is getting long,3
603caacf4df9d7a63fc5b6ed,28,speech_single,bkbf0812,The bus stopped suddenly,2
603caacf4df9d7a63fc5b6ed,29,speech_single,bkbf1408,The kitchen window was clean,2
603caacf4df9d7a63fc5b6ed,30,speech_single,bkbf1701,The apple pie's cooking,3
603caacf4df9d7a63fc5b6ed,31,speech_single,bkbf1205,The taps are above the sink,3
603caacf4df9d7a63fc5b6ed,32,speech_single,bkbf0913,The dinner plate's hot,0
603caacf4df9d7a63fc5b6ed,33,speech_single,bkbf0912,The lady packed her bag,3
603caacf4df9d7a63fc5b6ed,34,speech_single,bkbf1516,The puppy plays with a ball,3
603caacf4df9d7a63fc5b6ed,35,speech_single,bkbf0501,The bath towel was wet,3
603caacf4df9d7a63fc5b6ed,36,speech_single,bkbf0714,The orange was quite sweet,3
603caacf4df9d7a63fc5b6ed,37,speech_single,bkbf0411,The jam jar was full,3
603caacf4df9d7a63fc5b6ed,38,speech_single,bkbf2012,The raincoat's hanging up,0
603caacf4df9d7a63fc5b6ed,39,speech_single,bkbf0216,The school finished early,3
603caacf4df9d7a63fc5b6ed,40,speech_single,bkbf1008,Someones crossing the road,1
604f43f21e8e41788f3dd407,1,speech_single,bkbf1415,The grass is getting long,3
604f43f21e8e41788f3dd407,2,speech_single,bkbf0602,The mother stirs the tea,1
604f43f21e8e41788f3dd407,3,speech_single,bkbf1008,Someones crossing the road,3
604f43f21e8e41788f3dd407,4,speech_single,bkbf1906,The cleaner swept the floor,2
604f43f21e8e41788f3dd407,5,speech_single,bkbf2110,The egg cups are on the table,2
604f43f21e8e41788f3dd407,6,speech_single,bkbf2012,The raincoat's hanging up,1
604f43f21e8e41788f3dd407,7,speech_single,bkbf1907,A grocer sells butter,3
604f43f21e8e41788f3dd407,8,speech_single,bkbf0213,Some sticks were under the tree,0
604f43f21e8e41788f3dd407,9,speech_single,bkbf1301,The fruit came in a box,0
604f43f21e8e41788f3dd407,10,speech_single,bkbf0216,The school finished early,3
604f43f21e8e41788f3dd407,11,speech_single,bkbf0812,The bus stopped suddenly,2
604f43f21e8e41788f3dd407,12,speech_single,bkbf0201,The ladder's near the door,0
604f43f21e8e41788f3dd407,13,speech_single,bkbf1208,The bread van's coming,3
604f43f21e8e41788f3dd407,14,speech_single,bkbf0411,The jam jar was full,3
604f43f21e8e41788f3dd407,15,speech_single,bkbf0913,The dinner plate's hot,2
604f43f21e8e41788f3dd407,16,speech_single,bkbf0803,The match boxes are empty,3
604f43f21e8e41788f3dd407,17,speech_single,bkbf1215,The boy had a toy dragon,3
604f43f21e8e41788f3dd407,18,speech_single,bkbf2112,The cricket team's playing,1
604f43f21e8e41788f3dd407,19,speech_single,bkbf0206,The thin dog was hungry,1
604f43f21e8e41788f3dd407,20,speech_single,bkbf1701,The apple pie's cooking,2
604f43f21e8e41788f3dd407,21,speech_single,bkbf1205,The taps are above the sink,0
604f43f21e8e41788f3dd407,22,speech_single,bkbf0906,A letter fell on the mat,0
604f43f21e8e41788f3dd407,23,speech_single,bkbf1616,The painter used a brush,2
604f43f21e8e41788f3dd407,24,speech_single,bkbf0414,The cooks making a cake,3
604f43f21e8e41788f3dd407,25,speech_single,bkbf0109,The postman shut the gate,1
604f43f21e8e41788f3dd407,26,speech_single,bkbf0204,The old gloves are dirty,1
604f43f21e8e41788f3dd407,27,speech_single,bkbf1212,The children help the milkman,1
604f43f21e8e41788f3dd407,28,speech_single,bkbf0502,The matches lie on the shelf,3
604f43f21e8e41788f3dd407,29,speech_single,bkbf1516,The puppy plays with a ball,2
604f43f21e8e41788f3dd407,30,speech_single,bkbf1203,The front garden was pretty,3
604f43f21e8e41788f3dd407,31,speech_single,bkbf0310,The man cleaned his shoes,3
604f43f21e8e41788f3dd407,32,speech_single,bkbf0210,The police chased the car,0
604f43f21e8e41788f3dd407,33,speech_single,bkbf0512,Somebody took the money,3
604f43f21e8e41788f3dd407,34,speech_single,bkbf1609,Some men shave in the morning,0
604f43f21e8e41788f3dd407,35,speech_single,bkbf0501,The bath towel was wet,3
604f43f21e8e41788f3dd407,36,speech_single,bkbf0912,The lady packed her bag,2
604f43f21e8e41788f3dd407,37,speech_single,bkbf0714,The orange was quite sweet,3
604f43f21e8e41788f3dd407,38,speech_single,bkbf1408,The kitchen window was clean,0
604f43f21e8e41788f3dd407,39,speech_single,bkbf2016,The flower stands in a pot,0
604f43f21e8e41788f3dd407,40,speech_single,bkbf0615,The broom stood in the corner,0
606eee19504d7150f4b37370,1,speech_single,bkbf2110,The egg cups are on the table,2
606eee19504d7150f4b37370,2,speech_single,bkbf1701,The apple pie's cooking,3
606eee19504d7150f4b37370,3,speech_single,bkbf2016,The flower stands in a pot,1
606eee19504d7150f4b37370,4,speech_single,bkbf0502,The matches lie on the shelf,3
606eee19504d7150f4b37370,5,speech_single,bkbf1408,The kitchen window was clean,3
606eee19504d7150f4b37370,6,speech_single,bkbf1008,Someones crossing the road,2
606eee19504d7150f4b37370,7,speech_single,bkbf1906,The cleaner swept the floor,3
606eee19504d7150f4b37370,8,speech_single,bkbf0615,The broom stood in the corner,0
606eee19504d7150f4b37370,9,speech_single,bkbf0109,The postman shut the gate,3
606eee19504d7150f4b37370,10,speech_single,bkbf0310,The man cleaned his shoes,3
606eee19504d7150f4b37370,11,speech_single,bkbf0201,The ladder's near the door,3
606eee19504d7150f4b37370,12,speech_single,bkbf0204,The old gloves are dirty,1
606eee19504d7150f4b37370,13,speech_single,bkbf1301,The fruit came in a box,1
606eee19504d7150f4b37370,14,speech_single,bkbf0210,The police chased the car,1
606eee19504d7150f4b37370,15,speech_single,bkbf0216,The school finished early,3
606eee19504d7150f4b37370,16,speech_single,bkbf1215,The boy had a toy dragon,3
606eee19504d7150f4b37370,17,speech_single,bkbf2112,The cricket team's playing,0
606eee19504d7150f4b37370,18,speech_single,bkbf1415,The grass is getting long,3
606eee19504d7150f4b37370,19,speech_single,bkbf1208,The bread van's coming,3
606eee19504d7150f4b37370,20,speech_single,bkbf0913,The dinner plate's hot,3
606eee19504d7150f4b37370,21,speech_single,bkbf1203,The front garden was pretty,3
606eee19504d7150f4b37370,22,speech_single,bkbf0411,The jam jar was full,3
606eee19504d7150f4b37370,23,speech_single,bkbf2012,The raincoat's hanging up,0
606eee19504d7150f4b37370,24,speech_single,bkbf1616,The painter used a brush,0
606eee19504d7150f4b37370,25,speech_single,bkbf0906,A letter fell on the mat,1
606eee19504d7150f4b37370,26,speech_single,bkbf1907,A grocer sells butter,1
606eee19504d7150f4b37370,27,speech_single,bkbf0512,Somebody took the money,0
606eee19504d7150f4b37370,28,speech_single,bkbf1212,The children help the milkman,3
606eee19504d7150f4b37370,29,speech_single,bkbf1516,The puppy plays with a ball,3
606eee19504d7150f4b37370,30,speech_single,bkbf0803,The match boxes are empty,3
606eee19504d7150f4b37370,31,speech_single,bkbf1609,Some men shave in the morning,3
606eee19504d7150f4b37370,32,speech_single,bkbf0912,The lady packed her bag,3
606eee19504d7150f4b37370,33,speech_single,bkbf1205,The taps are above the sink,0
606eee19504d7150f4b37370,34,speech_single,bkbf0213,Some sticks were under the tree,3
606eee19504d7150f4b37370,35,speech_single,bkbf0602,The mother stirs the tea,1
606eee19504d7150f4b37370,36,speech_single,bkbf0812,The bus stopped suddenly,3
606eee19504d7150f4b37370,37,speech_single,bkbf0414,The cooks making a cake,2
606eee19504d7150f4b37370,38,speech_single,bkbf0206,The thin dog was hungry,3
606eee19504d7150f4b37370,39,speech_single,bkbf0501,The bath towel was wet,3
606eee19504d7150f4b37370,40,speech_single,bkbf0714,The orange was quite sweet,1
6078421a82b88488a16a2b1f,1,speech_single,bkbf0411,The jam jar was full,3
6078421a82b88488a16a2b1f,2,speech_single,bkbf2012,The raincoat's hanging up,3
6078421a82b88488a16a2b1f,3,speech_single,bkbf0204,The old gloves are dirty,0
6078421a82b88488a16a2b1f,4,speech_single,bkbf0210,The police chased the car,1
6078421a82b88488a16a2b1f,5,speech_single,bkbf2112,The cricket team's playing,0
6078421a82b88488a16a2b1f,6,speech_single,bkbf0812,The bus stopped suddenly,2
6078421a82b88488a16a2b1f,7,speech_single,bkbf1215,The boy had a toy dragon,3
6078421a82b88488a16a2b1f,8,speech_single,bkbf1212,The children help the milkman,3
6078421a82b88488a16a2b1f,9,speech_single,bkbf1208,The bread van's coming,2
6078421a82b88488a16a2b1f,10,speech_single,bkbf0501,The bath towel was wet,3
6078421a82b88488a16a2b1f,11,speech_single,bkbf1616,The painter used a brush,1
6078421a82b88488a16a2b1f,12,speech_single,bkbf0206,The thin dog was hungry,1
6078421a82b88488a16a2b1f,13,speech_single,bkbf0201,The ladder's near the door,1
6078421a82b88488a16a2b1f,14,speech_single,bkbf1301,The fruit came in a box,1
6078421a82b88488a16a2b1f,15,speech_single,bkbf1609,Some men shave in the morning,1
6078421a82b88488a16a2b1f,16,speech_single,bkbf0913,The dinner plate's hot,2
6078421a82b88488a16a2b1f,17,speech_single,bkbf0414,The cooks making a cake,2
6078421a82b88488a16a2b1f,18,speech_single,bkbf0912,The lady packed her bag,3
6078421a82b88488a16a2b1f,19,speech_single,bkbf1203,The front garden was pretty,3
6078421a82b88488a16a2b1f,20,speech_single,bkbf0602,The mother stirs the tea,0
6078421a82b88488a16a2b1f,21,speech_single,bkbf0512,Somebody took the money,2
6078421a82b88488a16a2b1f,22,speech_single,bkbf0906,A letter fell on the mat,1
6078421a82b88488a16a2b1f,23,speech_single,bkbf1516,The puppy plays with a ball,3
6078421a82b88488a16a2b1f,24,speech_single,bkbf0714,The orange was quite sweet,3
6078421a82b88488a16a2b1f,25,speech_single,bkbf1408,The kitchen window was clean,1
6078421a82b88488a16a2b1f,26,speech_single,bkbf1415,The grass is getting long,3
6078421a82b88488a16a2b1f,27,speech_single,bkbf1907,A grocer sells butter,0
6078421a82b88488a16a2b1f,28,speech_single,bkbf0803,The match boxes are empty,3
6078421a82b88488a16a2b1f,29,speech_single,bkbf0310,The man cleaned his shoes,3
6078421a82b88488a16a2b1f,30,speech_single,bkbf1008,Someones crossing the road,3
6078421a82b88488a16a2b1f,31,speech_single,bkbf0502,The matches lie on the shelf,2
6078421a82b88488a16a2b1f,32,speech_single,bkbf1701,The apple pie's cooking,3
6078421a82b88488a16a2b1f,33,speech_single,bkbf0213,Some sticks were under the tree,2
6078421a82b88488a16a2b1f,34,speech_single,bkbf0109,The postman shut the gate,0
6078421a82b88488a16a2b1f,35,speech_single,bkbf1205,The taps are above the sink,2
6078421a82b88488a16a2b1f,36,speech_single,bkbf2016,The flower stands in a pot,1
6078421a82b88488a16a2b1f,37,speech_single,bkbf0615,The broom stood in the corner,2
6078421a82b88488a16a2b1f,38,speech_single,bkbf2110,The egg cups are on the table,3
6078421a82b88488a16a2b1f,39,speech_single,bkbf0216,The school finished early,0
6078421a82b88488a16a2b1f,40,speech_single,bkbf1906,The cleaner swept the floor,1
609beff580ef7e7c8785ff6e,1,speech_single,bkbf0812,The bus stopped suddenly,2
609beff580ef7e7c8785ff6e,2,speech_single,bkbf1616,The painter used a brush,3
609beff580ef7e7c8785ff6e,3,speech_single,bkbf2012,The raincoat's hanging up,0
609beff580ef7e7c8785ff6e,4,speech_single,bkbf0206,The thin dog was hungry,0
609beff580ef7e7c8785ff6e,5,speech_single,bkbf1907,A grocer sells butter,3
609beff580ef7e7c8785ff6e,6,speech_single,bkbf0411,The jam jar was full,1
609beff580ef7e7c8785ff6e,7,speech_single,bkbf1205,The taps are above the sink,3
609beff580ef7e7c8785ff6e,8,speech_single,bkbf1906,The cleaner swept the floor,2
609beff580ef7e7c8785ff6e,9,speech_single,bkbf2016,The flower stands in a pot,0
609beff580ef7e7c8785ff6e,10,speech_single,bkbf0414,The cooks making a cake,1
609beff580ef7e7c8785ff6e,11,speech_single,bkbf0501,The bath towel was wet,3
609beff580ef7e7c8785ff6e,12,speech_single,bkbf0310,The man cleaned his shoes,3
609beff580ef7e7c8785ff6e,13,speech_single,bkbf1415,The grass is getting long,3
609beff580ef7e7c8785ff6e,14,speech_single,bkbf0602,The mother stirs the tea,0
609beff580ef7e7c8785ff6e,15,speech_single,bkbf1212,The children help the milkman,3
609beff580ef7e7c8785ff6e,16,speech_single,bkbf2112,The cricket team's playing,0
609beff580ef7e7c8785ff6e,17,speech_single,bkbf0502,The matches lie on the shelf,3
609beff580ef7e7c8785ff6e,18,speech_single,bkbf0913,The dinner plate's hot,0
609beff580ef7e7c8785ff6e,19,speech_single,bkbf0912,The lady packed her bag,3
609beff580ef7e7c8785ff6e,20,speech_single,bkbf1008,Someones crossing the road,1
609beff580ef7e7c8785ff6e,21,speech_single,bkbf1301,The fruit came in a box,0
609beff580ef7e7c8785ff6e,22,speech_single,bkbf0210,The police chased the car,1
609beff580ef7e7c8785ff6e,23,speech_single,bkbf1516,The puppy plays with a ball,1
609beff580ef7e7c8785ff6e,24,speech_single,bkbf1701,The apple pie's cooking,0
609beff580ef7e7c8785ff6e,25,speech_single,bkbf0615,The broom stood in the corner,2
609beff580ef7e7c8785ff6e,26,speech_single,bkbf0201,The ladder's near the door,1
609beff580ef7e7c8785ff6e,27,speech_single,bkbf0803,The match boxes are empty,3
609beff580ef7e7c8785ff6e,28,speech_single,bkbf0216,The school finished early,3
609beff580ef7e7c8785ff6e,29,speech_single,bkbf0512,Somebody took the money,3
609beff580ef7e7c8785ff6e,30,speech_single,bkbf0109,The postman shut the gate,1
609beff580ef7e7c8785ff6e,31,speech_single,bkbf1215,The boy had a toy dragon,3
609beff580ef7e7c8785ff6e,32,speech_single,bkbf0213,Some sticks were under the tree,1
609beff580ef7e7c8785ff6e,33,speech_single,bkbf1208,The bread van's coming,2
609beff580ef7e7c8785ff6e,34,speech_single,bkbf1408,The kitchen window was clean,3
609beff580ef7e7c8785ff6e,35,speech_single,bkbf0906,A letter fell on the mat,1
609beff580ef7e7c8785ff6e,36,speech_single,bkbf1203,The front garden was pretty,3
609beff580ef7e7c8785ff6e,37,speech_single,bkbf2110,The egg cups are on the table,3
609beff580ef7e7c8785ff6e,38,speech_single,bkbf0714,The orange was quite sweet,3
609beff580ef7e7c8785ff6e,39,speech_single,bkbf0204,The old gloves are dirty,3
609beff580ef7e7c8785ff6e,40,speech_single,bkbf1609,Some men shave in the morning,1
60b55f3ee17b9cefddab4a7e,1,speech_single,bkbf0602,The mother stirs the tea,0
60b55f3ee17b9cefddab4a7e,2,speech_single,bkbf2112,The cricket team's playing,1
60b55f3ee17b9cefddab4a7e,3,speech_single,bkbf0411,The jam jar was full,1
60b55f3ee17b9cefddab4a7e,4,speech_single,bkbf0414,The cooks making a cake,3
60b55f3ee17b9cefddab4a7e,5,speech_single,bkbf0512,Somebody took the money,0
60b55f3ee17b9cefddab4a7e,6,speech_single,bkbf1516,The puppy plays with a ball,3
60b55f3ee17b9cefddab4a7e,7,speech_single,bkbf1212,The children help the milkman,3
60b55f3ee17b9cefddab4a7e,8,speech_single,bkbf0803,The match boxes are empty,3
60b55f3ee17b9cefddab4a7e,9,speech_single,bkbf1208,The bread van's coming,3
60b55f3ee17b9cefddab4a7e,10,speech_single,bkbf1203,The front garden was pretty,3
60b55f3ee17b9cefddab4a7e,11,speech_single,bkbf0501,The bath towel was wet,3
60b55f3ee17b9cefddab4a7e,12,speech_single,bkbf0912,The lady packed her bag,3
60b55f3ee17b9cefddab4a7e,13,speech_single,bkbf0109,The postman shut the gate,3
60b55f3ee17b9cefddab4a7e,14,speech_single,bkbf1215,The boy had a toy dragon,3
60b55f3ee17b9cefddab4a7e,15,speech_single,bkbf0714,The orange was quite sweet,2
60b55f3ee17b9cefddab4a7e,16,speech_single,bkbf0913,The dinner plate's hot,0
60b55f3ee17b9cefddab4a7e,17,speech_single,bkbf1616,The painter used a brush,3
60b55f3ee17b9cefddab4a7e,18,speech_single,bkbf0201,The ladder's near the door,2
60b55f3ee17b9cefddab4a7e,19,speech_single,bkbf1906,The cleaner swept the floor,3
60b55f3ee17b9cefddab4a7e,20,speech_single,bkbf1609,Some men shave in the morning,0
60b55f3ee17b9cefddab4a7e,21,speech_single,bkbf2016,The flower stands in a pot,0
60b55f3ee17b9cefddab4a7e,22,speech_single,bkbf1415,The grass is getting long,3
60b55f3ee17b9cefddab4a7e,23,speech_single,bkbf1408,The kitchen window was clean,3
60b55f3ee17b9cefddab4a7e,24,speech_single,bkbf0206,The thin dog was hungry,2
60b55f3ee17b9cefddab4a7e,25,speech_single,bkbf1008,Someones crossing the road,0
